F, +10ms, -10ms
0.1, 97.70408163265307, 68.87755102040816
10, 118.36734693877551, 56.88775510204081
20, 131.8877551020408, 66.3265306122449
40, 155.35714285714286, 153.82653061224488
50, 157.65306122448982, 173.9795918367347
