stdp_dt, %w
-100, 96.3768115942029
-90, 95.65217391304348
-80, 94.92753623188406
-70, 92.7536231884058
-60, 90.57971014492753
-50, 86.95652173913044
-40, 83.33333333333333
-30, 78.26086956521739
-20, 70.65217391304347
-10, 60.14492753623188
-5, 53.6231884057971
5, 171.37681159420288
10, 151.08695652173913
20, 125.72463768115942
30, 113.04347826086956
40, 106.52173913043478
50, 103.26086956521739
60, 102.17391304347827
70, 100.3623188405797
80, 100.72463768115942
90, 100.3623188405797
100, 100
